Blog	groups	ashtray	stretching	sum	indians	adventure	rightly	cell	reviewing	tstyle	reverse	statements	chilling	existent	sleepy	fortunately	typically	settle	exit	lone	behave	compositions	bastards	canned	pagination	jacob	reflective	legit	eleven	exclusively	spending	rival	wings	license	norm	encourage	haircut	emerge	actors	beg	honored	closet	outfits	pr	collector	whore	teenagers	leisure	mob	ali	marry	hopeful	jobs	knocking	westerns	pleased	females	elliot	someday	cutting	ken	historic	harris	meditation	insane	chant	myth	challenge	passive	longing	curse	lenny	jewelry	ducks	supreme	joan	graduation	nigel	recordings	pedal	security	tale	butter	redhead	spice	oklahoma	html	ringing	combine	army	sentiments	funk	cuff	violence	orbit	producer	ariel	switched	snakes	careless	equation	arriving	larger	syd	trivia	sharp	quit	critic	benefits	norton	colbert	glen	industry	clue	appeared	rivers	shaking	recipe	expanded	undoubtedly	endings	dancer	sailing	viewed	jurado	drove	kil	sheen	cassettes	steam	twigs	rockabilly	pummeling	reminder	sensibility	practically	lame	grande	resulting	chatter	afghan	remembering	breathtaking	carl	alps	happiness	buying	carrie	careers	dual	bucks	origins	quintessential	infinite	andrews	sunny	tower	chapters	ipod	immortal	ma	historically	cinema	escaped	abuse	powered	eric	argue	lip	approaches	schools	cramps	ash	blogged	gentleman	caring	downs	cos	appropriate	attempting	accepting	mo	eliminate	polar	cornell	flash	christian	leaning	electricity	strongly	grief	polite	responsible	rebellion	fake	rides	implies	ha	melvins	remove	plethora	gained	bundle	mc	crashed	astronaut	celebrate	fists	patient	knowledge	pulled	wives	symphony	laundry	instinct	spiritualized	mister	allow	landed	minority	futuristic	catches	surprises	claimed	index	railroad	fictional	luke	importance	aquarium	daddy	neighbors	fourteen	dime	kim	sports	delay	loser	slower	kramer	gutter	grinding	pro	gods	vocabulary	movies	goal	mondays	birth	mould	partnership	skinny	upcoming	grandfather	delivering	groundbreaking	jacuzzi	skills	announcement	insanely	sprawling	lucas	discography	served	humming	ashley	idiots	crows	truckers	subsequently	amused	effortlessly	haze	additions	flourishes	mccarthy	heath	execution	formed	tons	analysis	winding	percentage	evokes	donuts	impress	outlet	zone	surviving	julian	complain	wheels	palace	edward	shaped	ratio	tones	ry	cred	trapped	puppets	simpson	insert	consume	zeppelin	virtue	eps	nostalgic	alaska	bend	swallowed	accidentally	hallelujah	russia	directed	misery	greg	bizarre	dean	exhausting	eccentric	formerly	clicks	accurate	crashes	mod	rarity	goodies	kenny	shannon	pros	categories	majority	audible	cosmic	euro	proven	product	remedy	elliott	problematic	amongst	slate	blew	expert	tribe	circus	vox	iris	ny	ye	crushed	cartoon	parties	university	hyper	sidewalk	jan	trials	promised	wisconsin	grape	victims	matched	graphic	booker	umbrella	eternal	junior	swamp	oil	drake	originality	apartment	potter	marianne	explosive	dum	lily	chromatics	magnet	disgusting	pockets	stanley	assured	oldham	illustrated	legend	ads	logo	continent	noir	respond	tribal	sites	barnes	delivery	impression	health	info	chairs	los	straw	directors	desk	simone	thin	cheaper	thrive	allen	maiden	elite	ab	combined	venue	jonny	nothings	emergency	axis	studied	necessity	bush	confirm	newest	walker	shades	windows	realistic	handy	mystic	correct	palmer	eden	sans	observed	coachella	gimmick	fashioned	traded	titus	ellis	couch	bean	bursts	labor	quietly	featured	tease	species	louise	guessed	reviewer	experimental	ms	overhead	breakdown	drifting	amy	finest	northwest	babes	lonesome	owls	korea	bow	swords	confidence	suzanne	observations	trumpet	pile	hating	reflects	websites	horribly	cheating	sufjan	intensity	advantage	engage	zombie	laced	moore	wears	tremendous	winners	songwriters	concise	temptation	entering	jefferson	casey	veteran	coincidentally	distorted	riding	worlds	germans	lang	manning
Boggle Me Thursday	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Floorshime Zipper Boots	5	0	6	3	0	4	0	4	1	0	0	1	0	0	1	0	2	4	6	1	0	2	0	0	0	30	0	0	51	0	1	0	3	0	7	0	0	5	0	6	0	5	1	9	14	0	0	0	0	1	0	0	1	0	0	0	1	5	0	5	0	2	8	5	0	0	6	17	1	5	7	0	2	0	5	5	0	4	29	0	0	1	3	0	0	1	1	1	11	0	1	4	0	1	0	128	8	0	0	5	0	0	2	0	0	6	3	0	1	0	0	0	4	0	3	7	1	0	4	2	6	6	0	0	0	0	0	21	0	4	0	2	0	3	15	0	1	0	0	0	0	1	6	0	0	1	0	0	0	1	1	4	0	0	2	1	3	0	1	0	6	0	4	0	0	3	19	1	0	2	0	0	7	0	1	0	0	0	4	0	1	1	0	0	0	2	10	6	0	1	0	0	1	0	6	0	1	1	1	0	4	2	4	1	0	4	1	0	1	0	2	0	3	0	8	1	4	4	0	0	1	0	2	5	4	0	0	3	4	0	1	5	6	0	10	10	4	0	0	0	0	2	0	0	0	2	1	0	2	0	0	0	8	0	13	1	13	0	0	0	3	1	1	7	0	2	2	0	0	1	0	13	14	0	17	3	0	6	8	2	1	1	0	5	0	14	0	1	0	4	0	0	5	2	0	0	13	0	4	0	1	2	0	0	0	2	2	2	9	2	0	0	0	5	22	0	11	5	4	0	0	1	0	0	1	32	0	0	3	0	1	0	2	0	25	1	0	3	1	1	0	0	0	0	3	0	1	4	0	8	4	0	0	2	1	0	0	2	2	1	3	1	2	3	0	0	0	0	1	0	6	5	43	10	0	0	1	6	1	0	0	0	0	0	0	0	0	1	0	0	0	9	0	1	6	0	8	3	1	8	0	18	0	1	0	0	2	0	0	3	6	0	0	13	2	4	16	8	0	0	1	1	0	2	0	14	10	0	0	1	0	7	2	1	0	0	0	0	0	0	3	0	8	0	2	0	29	5	0	1	1	1	62	0	1	0	6	1	4	1	9	3	9	0	0	5	5	0	0	1	12	0	4	0	0	0	1	10	7	4	4	9	6	0	3	1	3	0	0	1	0	1	2	0	4	1	2	0	2	0
KiDCHAIR	16	0	0	1	0	2	0	1	0	0	3	0	1	0	0	2	2	0	0	1	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	3	2	0	0	2	0	0	2	2	0	2	0	0	2	0	1	0	0	3	3	0	0	0	0	0	0	1	1	0	1	3	0	0	0	0	0	0	2	2	0	4	0	3	0	8	0	1	0	0	0	0	0	0	1	5	2	3	0	0	0	0	1	7	2	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	3	3	0	0	1	2	2	1	0	0	0	1	0	0	1	5	1	12	0	1	0	0	0	2	1	0	2	4	0	1	0	0	0	0	2	1	0	6	0	0	2	1	0	0	2	0	0	0	0	1	2	0	0	3	0	0	4	0	0	1	1	0	0	0	0	2	1	2	0	4	0	0	0	0	0	0	1	1	0	2	0	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	1	3	0	17	2	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	4	0	1	0	0	2	0	1	3	0	3	0	0	0	2	1	1	0	0	1	0	0	2	0	0	1	2	0	0	0	1	1	3	1	0	0	5	0	0	0	0	0	0	1	1	10	1	0	0	0	0	0	1	0	0	0	0	1	0	1	5	1	0	0	2	1	2	1	0	0	1	0	3	1	0	3	0	0	0	1	1	6	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	1	1	0	0	1	0	7	1	1	0	0	0	0	0	0	4	1	0	0	0	2	1	1	2	0	5	0	3	1	0	0	0	1	0	0	0	0	4	0	1	0	2	0	0	1	0	0	0	0	1	0	6	0	0	1	0	1	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	2	6	0	0	0	0	1	5	1	0	2	0	1	1	0	1	1	0	0	2	0	0	0	0	0	0	1	0	1	2	2	16	5	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	1	0	4	1	0	0	0
2+2=5?	1	0	0	5	0	0	2	0	1	0	0	1	0	1	1	16	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	2	0	0	0	0	0	0	0	1	0	0	5	6	1	2	1	0	4	0	0	0	0	0	0	9	0	0	1	1	0	0	1	0	0	1	1	0	2	1	1	0	5	1	1	0	0	1	0	0	0	0	1	0	1	0	0	2	1	0	0	0	1	0	0	1	0	0	1	0	0	0	2	3	1	0	0	0	2	0	0	1	1	0	0	1	0	9	0	0	5	0	1	0	4	1	0	0	1	0	1	0	1	0	3	0	0	2	0	4	1	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	2	0	3	0	1	0	0	1	1	2	1	0	0	0	3	3	0	0	1	0	0	0	2	0	2	2	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	1	0	3	0	1	8	2	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	2	0	0	0	0	4	0	1	0	0	1	0	2	0	0	0	0	0	0	0	4	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	7	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	1	0	5	1	0	0	0	0	0	0	0	0	4	0	0	1	1	11	0	0	0	2	1	0	0	3	0	3	1	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	1	2	0	0	0	1	0	1	1	3	2	2	1	0	0	1	1	1	1	0	3	0	1	0	1	1	0	0	0	0	2	1	5	0	2	0	1	2	0	0	0	1	0	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	1	0	1	2	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	4	0	0
MarkEOrtega's Journalism Portfolio	1	0	0	7	6	1	0	2	1	2	0	2	0	1	0	1	1	1	1	16	0	0	1	2	1	1	1	2	10	6	6	13	3	4	0	0	2	6	1	1	2	0	1	2	1	0	1	0	0	21	1	8	4	15	0	1	0	0	1	2	11	5	90	0	3	1	0	32	3	1	0	3	0	0	0	2	1	1	0	0	7	8	1	0	0	2	0	0	0	2	0	3	2	3	1	5	0	4	0	1	0	2	9	1	1	4	13	0	2	0	0	37	3	4	10	2	3	1	3	10	0	0	1	3	0	3	9	0	0	4	0	0	0	1	0	2	0	0	3	1	5	9	0	36	0	1	2	0	25	1	1	0	0	2	0	0	0	0	0	0	0	0	0	4	3	2	14	16	0	1	0	0	8	0	0	2	6	1	0	6	3	7	0	0	0	3	4	3	0	0	0	0	9	0	0	2	0	0	0	6	3	8	0	0	1	0	4	1	2	8	22	2	0	1	1	1	1	16	81	1	1	5	9	16	0	0	0	0	3	0	0	1	10	1	15	76	10	11	9	0	1	2	66	0	0	1	7	7	2	1	4	0	26	1	10	8	0	19	15	1	0	13	0	22	0	2	0	2	0	2	0	1	0	0	0	0	0	2	2	9	0	9	4	0	1	2	3	3	1	17	1	2	0	1	1	2	0	0	0	5	0	1	0	1	1	3	3	8	0	0	1	1	0	4	1	1	1	4	0	0	0	4	0	6	3	0	2	0	8	0	6	0	50	0	0	0	17	3	2	1	1	14	0	7	1	0	5	0	0	1	0	3	1	6	3	0	0	24	1	8	1	0	1	22	0	4	1	0	170	0	0	9	0	1	13	0	6	16	0	0	0	4	4	3	0	0	3	16	0	1	1	0	10	1	6	0	0	6	16	1	0	119	0	1	1	0	9	2	1	7	0	13	4	11	38	0	0	1	0	0	1	2	2	2	1	0	1	2	3	0	6	0	0	6	0	219	9	2	10	0	4	0	1	1	4	5	80	0	0	0	1	0	1	0	0	0	0	2	1	0	2	0	0	1	3	0	20	0	0	0	2	0	0	1	0	0	0	5	28	10	0	0	2	3	18	5	0	2	0	13	3	2	51	2	0	7	0	0	0	0
DaveCromwell Writes	1	0	1	1	0	2	0	1	0	0	1	0	0	1	0	4	1	1	0	1	0	4	0	0	0	1	0	0	2	1	1	0	0	0	0	0	2	7	0	0	2	0	1	7	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	4	0	0	3	0	2	2	0	1	0	2	0	3	0	0	2	0	0	1	19	6	2	7	3	1	0	0	2	1	3	0	0	5	0	1	0	28	4	1	0	0	0	4	6	1	0	2	0	1	9	0	0	1	3	0	6	3	3	0	8	0	0	1	0	7	0	0	0	8	0	0	0	0	0	2	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	2	0	0	4	0	0	0	0	0	1	0	0	0	6	0	0	2	2	0	1	3	0	0	0	0	0	3	1	3	3	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	1	0	0	3	0	3	0	2	1	6	0	4	1	0	0	0	0	0	0	1	12	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	4	0	0	2	0	2	0	0	0	1	0	0	1	0	0	0	6	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	1	0	1	2	4	0	2	2	2	2	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	5	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1	5	0	0	0	1	1	0	0	3	9	0	0	1	0	2	0	1	1	2	0	0	4	2	5	0	0	0	1	0	0	0	0	7	0	0	0	0	0	1	0	0	11	4	0	4	0	3	0	0	1	1	1	0	0	0	0	0	0	4	13	0	0	0	1	1	1	4	0	1	5	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	2	1	4	0	1	25	0	0	0	0	0	4	1	0	0	0	3	1	0	1	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	4	3	2	1	0	1	1	0	1	1	0	0	0	1	1	1	2	5	1	0	0	0	0
FlowRadio Playlists (and Blog)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	3	1	0	13	3	0	18	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8	18	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	3	0	0	1	0	0	0	0	2	0	0	4	0	0	0	18	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	2	0	0	0	0	0	5	0	0	0	1	0	0	0	0	7	0	0	0	2	0	0	1	2	0	0	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	7	3	0	7	1	0	0	0	0	0	0	1	0	4	0	0	1	10	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	6	0	0	0	0	10	0	3	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	3	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	8	0
ΜΕΣΑ ΣΤΗ ΒΡΩΜΙΑ	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	3	0	0	1	0	1	3	1	2	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	1	4	2	0	0	0	0	1	0	14	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	10	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	3	2	5	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	7	2	1	0	2	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	8	0	0	0	0	0	6	0	0	0	1	0	2	0	2	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0	0	15	0	0	0	4	1	0	1	0	0	0	1	0	0	0	0	1	0	0	9	4	0	0	0	2	0	0	0	0	0	0	0	2	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	10	0	0	0	0	0	2	0	1	0	0	0	0	0	7	0	0	0
isyeli's	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
Steel City Rust	2	0	0	0	0	2	0	2	1	0	4	0	1	1	0	5	4	1	2	0	0	0	0	1	0	0	0	4	0	0	2	1	9	2	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	2	1	4	0	0	3	0	0	1	3	6	1	1	0	2	0	3	6	0	0	0	0	0	2	0	1	0	5	0	0	1	9	0	0	1	0	0	0	1	9	0	3	1	1	0	3	0	0	1	0	0	1	3	1	1	0	1	0	0	0	0	0	0	4	5	1	0	0	0	0	0	1	0	0	0	0	0	0	1	40	0	3	0	1	0	0	0	1	3	0	0	2	0	0	0	1	2	7	1	0	4	0	0	0	2	6	2	3	1	0	1	1	0	0	0	4	0	0	0	0	0	0	2	3	1	1	0	0	7	2	1	0	0	0	0	1	0	0	0	3	0	0	1	0	2	1	0	4	0	2	0	1	0	4	1	2	1	0	0	2	5	0	1	0	0	0	0	1	1	1	0	2	0	2	0	31	2	1	1	0	0	2	0	0	0	1	1	1	5	0	1	0	2	3	0	13	1	1	3	0	0	3	0	5	1	1	0	1	0	1	0	0	2	5	0	0	0	0	0	3	3	0	1	2	0	0	0	1	7	2	0	0	0	0	0	1	0	0	1	0	1	4	0	8	1	0	0	0	1	0	0	2	0	0	5	1	0	3	4	2	1	2	0	6	0	0	1	10	0	0	0	1	1	2	1	1	0	0	2	0	0	0	2	0	0	0	1	6	0	0	4	0	2	0	1	1	0	0	9	1	0	0	3	2	3	0	1	0	0	2	0	0	0	0	1	0	0	0	4	2	4	0	0	6	4	0	0	0	0	0	0	0	0	1	0	0	0	5	0	5	0	0	2	0	0	0	6	5	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	2	1	1	0	2	1	0	1	0	1	1	1	2	3	2	0	0	4	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	3	2	0	2	1	2	0	0	1	1	0	1	0	1	1	0	1	0	0	0	3	0	0	1	1	0	0	2	2	0	2	0	2	0	0	1	3	0	0	1	0	0	1	0	0	1	0	0	0	0
Riley Haas' blog	35	0	3	12	7	40	16	9	11	2	19	21	0	5	2	104	16	5	10	6	27	49	4	3	1	4	3	23	117	7	29	7	172	18	4	7	7	11	121	6	0	2	0	6	5	6	20	4	19	7	7	12	15	6	33	3	0	6	1	15	46	6	31	6	94	13	23	24	4	0	19	18	0	81	7	12	3	3	85	7	38	32	4	1	0	0	12	2	33	30	5	39	16	88	0	79	2	11	2	2	2	4	36	1	1	28	25	29	12	4	2	21	39	8	79	2	2	2	30	18	17	4	3	24	0	13	0	1	0	1	0	7	2	10	6	102	20	2	6	6	1	10	0	31	2	6	28	2	39	3	4	40	1	3	0	3	7	27	1	1	9	15	69	2	32	2	52	132	0	16	11	12	1	5	6	19	0	0	79	53	8	26	13	4	1	4	46	9	4	27	3	3	44	3	30	9	11	33	0	35	3	4	1	3	5	1	31	4	9	98	22	2	188	2	16	1	1	46	4	31	6	2	11	84	7	10	28	16	55	0	3	1	32	8	3	136	3	1	9	7	1	0	65	3	1	919	201	0	34	1	2	8	8	4	1	6	0	12	4	43	2	16	7	16	3	0	27	0	10	10	7	0	4	3	6	10	0	52	12	62	10	8	212	2	0	19	0	25	11	12	26	12	10	45	3	21	8	12	2	0	5	4	13	2	51	8	8	5	1	7	0	12	8	25	3382	2	18	165	7	6	16	4	0	63	2	0	10	4	8	9	6	26	105	0	6	13	24	39	5	24	30	34	0	8	25	2	8	0	0	13	6	2	23	39	66	8	1	21	7	14	1	3	23	12	16	6	0	12	56	0	33	13	7	11	41	2	1	6	1	0	2	3	0	152	12	2	2	21	20	1	2	57	10	0	9	6	9	71	21	35	6	24	5	40	4	0	35	18	0	92	14	71	0	52	7	1	0	10	4	9	7	66	16	2	54	1	5	93	1	2	39	23	7	9	7	0	9	3	379	2	15	2	3	3	0	3	42	0	10	0	24	7	12	3	1	5	2	10	10	17	2	10	0	3	10	0	19	0	5	53	6	11	6	0	93	3	1	7	26	5	63	1	77	1	0	24	37	1	13	4	5	12	25	6	7	8	16	17	32	0
turnitup!	1	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	1	0	0	0	0	0	2	0	9	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	1	0	5	0	0	0	0	0	0	0	0	1	5	0	0	0	5	0	0	0	0	0	1	0	0	0	4	0	2	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	3	0	2	1	0	1	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	3	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	4	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	2	0	0	0	0	1	0	0	0	1	0	0	0
